date,blood_group,units_requested,day_of_week,month,is_weekend
2024-08-22,A-,6,3,8,0
2024-08-23,A-,6,4,8,0
2024-08-24,A-,5,5,8,1
2024-08-25,A-,2,6,8,1
2024-08-26,A-,6,0,8,0
2024-08-27,A-,4,1,8,0
2024-08-28,A-,6,2,8,0
2024-08-29,A-,5,3,8,0
2024-08-30,A-,5,4,8,0
2024-08-31,A-,3,5,8,1
2024-09-01,A-,3,6,9,1
2024-09-02,A-,4,0,9,0
2024-09-03,A-,4,1,9,0
2024-09-04,A-,4,2,9,0
2024-09-05,A-,6,3,9,0
2024-09-06,A-,3,4,9,0
2024-09-07,A-,4,5,9,1
2024-09-08,A-,3,6,9,1
2024-09-09,A-,5,0,9,0
2024-09-10,A-,5,1,9,0
2024-09-11,A-,5,2,9,0
2024-09-12,A-,5,3,9,0
2024-09-13,A-,5,4,9,0
2024-09-14,A-,4,5,9,1
2024-09-15,A-,2,6,9,1
2024-09-16,A-,3,0,9,0
2024-09-17,A-,4,1,9,0
2024-09-18,A-,5,2,9,0
2024-09-19,A-,6,3,9,0
2024-09-20,A-,5,4,9,0
2024-09-21,A-,5,5,9,1
2024-09-22,A-,4,6,9,1
2024-09-23,A-,4,0,9,0
2024-09-24,A-,6,1,9,0
2024-09-25,A-,4,2,9,0
2024-09-26,A-,5,3,9,0
2024-09-27,A-,3,4,9,0
2024-09-28,A-,2,5,9,1
2024-09-29,A-,4,6,9,1
2024-09-30,A-,5,0,9,0
2024-10-01,A-,6,1,10,0
2024-10-02,A-,4,2,10,0
2024-10-03,A-,6,3,10,0
2024-10-04,A-,6,4,10,0
2024-10-05,A-,3,5,10,1
2024-10-06,A-,4,6,10,1
2024-10-07,A-,5,0,10,0
2024-10-08,A-,6,1,10,0
2024-10-09,A-,6,2,10,0
2024-10-10,A-,5,3,10,0
2024-10-11,A-,3,4,10,0
2024-10-12,A-,4,5,10,1
2024-10-13,A-,2,6,10,1
2024-10-14,A-,5,0,10,0
2024-10-15,A-,5,1,10,0
2024-10-16,A-,4,2,10,0
2024-10-17,A-,4,3,10,0
2024-10-18,A-,4,4,10,0
2024-10-19,A-,3,5,10,1
2024-10-20,A-,3,6,10,1
2024-10-21,A-,5,0,10,0
2024-10-22,A-,5,1,10,0
2024-10-23,A-,4,2,10,0
2024-10-24,A-,6,3,10,0
2024-10-25,A-,4,4,10,0
2024-10-26,A-,4,5,10,1
2024-10-27,A-,3,6,10,1
2024-10-28,A-,7,0,10,0
2024-10-29,A-,5,1,10,0
2024-10-30,A-,6,2,10,0
2024-10-31,A-,4,3,10,0
2024-11-01,A-,4,4,11,0
2024-11-02,A-,3,5,11,1
2024-11-03,A-,5,6,11,1
2024-11-04,A-,4,0,11,0
2024-11-05,A-,4,1,11,0
2024-11-06,A-,6,2,11,0
2024-11-07,A-,5,3,11,0
2024-11-08,A-,4,4,11,0
2024-11-09,A-,3,5,11,1
2024-11-10,A-,4,6,11,1
2024-11-11,A-,5,0,11,0
2024-11-12,A-,5,1,11,0
2024-11-13,A-,4,2,11,0
2024-11-14,A-,4,3,11,0
2024-11-15,A-,1,4,11,0
2024-11-16,A-,2,5,11,1
2024-11-17,A-,3,6,11,1
2024-11-18,A-,4,0,11,0
2024-11-19,A-,4,1,11,0
2024-11-20,A-,7,2,11,0
2024-11-21,A-,5,3,11,0
2024-11-22,A-,3,4,11,0
2024-11-23,A-,4,5,11,1
2024-11-24,A-,4,6,11,1
2024-11-25,A-,4,0,11,0
2024-11-26,A-,5,1,11,0
2024-11-27,A-,5,2,11,0
2024-11-28,A-,5,3,11,0
2024-11-29,A-,3,4,11,0
2024-11-30,A-,4,5,11,1
2024-12-01,A-,5,6,12,1
2024-12-02,A-,7,0,12,0
2024-12-03,A-,4,1,12,0
2024-12-04,A-,5,2,12,0
2024-12-05,A-,5,3,12,0
2024-12-06,A-,6,4,12,0
2024-12-07,A-,3,5,12,1
2024-12-08,A-,3,6,12,1
2024-12-09,A-,5,0,12,0
2024-12-10,A-,5,1,12,0
2024-12-11,A-,6,2,12,0
2024-12-12,A-,4,3,12,0
2024-12-13,A-,4,4,12,0
2024-12-14,A-,5,5,12,1
2024-12-15,A-,6,6,12,1
2024-12-16,A-,7,0,12,0
2024-12-17,A-,5,1,12,0
2024-12-18,A-,6,2,12,0
2024-12-19,A-,4,3,12,0
2024-12-20,A-,5,4,12,0
2024-12-21,A-,3,5,12,1
2024-12-22,A-,5,6,12,1
2024-12-23,A-,6,0,12,0
2024-12-24,A-,7,1,12,0
2024-12-25,A-,5,2,12,0
2024-12-26,A-,6,3,12,0
2024-12-27,A-,5,4,12,0
2024-12-28,A-,4,5,12,1
2024-12-29,A-,4,6,12,1
2024-12-30,A-,7,0,12,0
2024-12-31,A-,5,1,12,0
2025-01-01,A-,5,2,1,0
2025-01-02,A-,3,3,1,0
2025-01-03,A-,5,4,1,0
2025-01-04,A-,4,5,1,1
2025-01-05,A-,3,6,1,1
2025-01-06,A-,4,0,1,0
2025-01-07,A-,3,1,1,0
2025-01-08,A-,4,2,1,0
2025-01-09,A-,6,3,1,0
2025-01-10,A-,4,4,1,0
2025-01-11,A-,4,5,1,1
2025-01-12,A-,4,6,1,1
2025-01-13,A-,7,0,1,0
2025-01-14,A-,6,1,1,0
2025-01-15,A-,6,2,1,0
2025-01-16,A-,5,3,1,0
2025-01-17,A-,5,4,1,0
2025-01-18,A-,4,5,1,1
2025-01-19,A-,5,6,1,1
2025-01-20,A-,5,0,1,0
2025-01-21,A-,6,1,1,0
2025-01-22,A-,8,2,1,0
2025-01-23,A-,5,3,1,0
2025-01-24,A-,5,4,1,0
2025-01-25,A-,4,5,1,1
2025-01-26,A-,4,6,1,1
2025-01-27,A-,6,0,1,0
2025-01-28,A-,5,1,1,0
2025-01-29,A-,5,2,1,0
2025-01-30,A-,5,3,1,0
2025-01-31,A-,5,4,1,0
2025-02-01,A-,3,5,2,1
2025-02-02,A-,2,6,2,1
2025-02-03,A-,5,0,2,0
2025-02-04,A-,6,1,2,0
2025-02-05,A-,4,2,2,0
2025-02-06,A-,4,3,2,0
2025-02-07,A-,6,4,2,0
2025-02-08,A-,3,5,2,1
2025-02-09,A-,4,6,2,1
2025-02-10,A-,4,0,2,0
2025-02-11,A-,5,1,2,0
2025-02-12,A-,6,2,2,0
2025-02-13,A-,5,3,2,0
2025-02-14,A-,5,4,2,0
2025-02-15,A-,2,5,2,1
2025-02-16,A-,4,6,2,1
2025-02-17,A-,4,0,2,0
2025-02-18,A-,6,1,2,0
2025-02-19,A-,5,2,2,0
2025-02-20,A-,5,3,2,0
2025-02-21,A-,5,4,2,0
2025-02-22,A-,4,5,2,1
2025-02-23,A-,5,6,2,1
2025-02-24,A-,6,0,2,0
2025-02-25,A-,3,1,2,0
2025-02-26,A-,4,2,2,0
2025-02-27,A-,5,3,2,0
2025-02-28,A-,4,4,2,0
2025-03-01,A-,3,5,3,1
2025-03-02,A-,3,6,3,1
2025-03-03,A-,5,0,3,0
2025-03-04,A-,2,1,3,0
2025-03-05,A-,4,2,3,0
2025-03-06,A-,4,3,3,0
2025-03-07,A-,7,4,3,0
2025-03-08,A-,5,5,3,1
2025-03-09,A-,4,6,3,1
2025-03-10,A-,6,0,3,0
2025-03-11,A-,6,1,3,0
2025-03-12,A-,5,2,3,0
2025-03-13,A-,7,3,3,0
2025-03-14,A-,6,4,3,0
2025-03-15,A-,5,5,3,1
2025-03-16,A-,5,6,3,1
2025-03-17,A-,6,0,3,0
2025-03-18,A-,6,1,3,0
2025-03-19,A-,6,2,3,0
2025-03-20,A-,5,3,3,0
2025-03-21,A-,6,4,3,0
2025-03-22,A-,4,5,3,1
2025-03-23,A-,4,6,3,1
2025-03-24,A-,6,0,3,0
2025-03-25,A-,6,1,3,0
2025-03-26,A-,7,2,3,0
2025-03-27,A-,4,3,3,0
2025-03-28,A-,6,4,3,0
2025-03-29,A-,3,5,3,1
2025-03-30,A-,4,6,3,1
2025-03-31,A-,6,0,3,0
2025-04-01,A-,4,1,4,0
2025-04-02,A-,6,2,4,0
2025-04-03,A-,6,3,4,0
2025-04-04,A-,5,4,4,0
2025-04-05,A-,4,5,4,1
2025-04-06,A-,3,6,4,1
2025-04-07,A-,7,0,4,0
2025-04-08,A-,7,1,4,0
2025-04-09,A-,6,2,4,0
2025-04-10,A-,5,3,4,0
2025-04-11,A-,6,4,4,0
2025-04-12,A-,5,5,4,1
2025-04-13,A-,4,6,4,1
2025-04-14,A-,5,0,4,0
2025-04-15,A-,5,1,4,0
2025-04-16,A-,6,2,4,0
2025-04-17,A-,6,3,4,0
2025-04-18,A-,6,4,4,0
2025-04-19,A-,5,5,4,1
2025-04-20,A-,5,6,4,1
2025-04-21,A-,6,0,4,0
2025-04-22,A-,6,1,4,0
2025-04-23,A-,4,2,4,0
2025-04-24,A-,7,3,4,0
2025-04-25,A-,6,4,4,0
2025-04-26,A-,4,5,4,1
2025-04-27,A-,4,6,4,1
2025-04-28,A-,6,0,4,0
2025-04-29,A-,5,1,4,0
2025-04-30,A-,4,2,4,0
2025-05-01,A-,3,3,5,0
2025-05-02,A-,4,4,5,0
2025-05-03,A-,1,5,5,1
2025-05-04,A-,2,6,5,1
2025-05-05,A-,6,0,5,0
2025-05-06,A-,5,1,5,0
2025-05-07,A-,4,2,5,0
2025-05-08,A-,4,3,5,0
2025-05-09,A-,6,4,5,0
2025-05-10,A-,4,5,5,1
2025-05-11,A-,3,6,5,1
2025-05-12,A-,6,0,5,0
2025-05-13,A-,4,1,5,0
2025-05-14,A-,5,2,5,0
2025-05-15,A-,3,3,5,0
2025-05-16,A-,4,4,5,0
2025-05-17,A-,3,5,5,1
2025-05-18,A-,2,6,5,1
2025-05-19,A-,5,0,5,0
2025-05-20,A-,5,1,5,0
2025-05-21,A-,5,2,5,0
2025-05-22,A-,7,3,5,0
2025-05-23,A-,5,4,5,0
2025-05-24,A-,3,5,5,1
2025-05-25,A-,2,6,5,1
2025-05-26,A-,5,0,5,0
2025-05-27,A-,5,1,5,0
2025-05-28,A-,3,2,5,0
2025-05-29,A-,4,3,5,0
2025-05-30,A-,5,4,5,0
2025-05-31,A-,4,5,5,1
2025-06-01,A-,4,6,6,1
2025-06-02,A-,4,0,6,0
2025-06-03,A-,5,1,6,0
2025-06-04,A-,5,2,6,0
2025-06-05,A-,4,3,6,0
2025-06-06,A-,4,4,6,0
2025-06-07,A-,4,5,6,1
2025-06-08,A-,3,6,6,1
2025-06-09,A-,3,0,6,0
2025-06-10,A-,6,1,6,0
2025-06-11,A-,4,2,6,0
2025-06-12,A-,4,3,6,0
2025-06-13,A-,5,4,6,0
2025-06-14,A-,4,5,6,1
2025-06-15,A-,3,6,6,1
2025-06-16,A-,2,0,6,0
2025-06-17,A-,4,1,6,0
2025-06-18,A-,5,2,6,0
2025-06-19,A-,4,3,6,0
2025-06-20,A-,5,4,6,0
2025-06-21,A-,4,5,6,1
2025-06-22,A-,4,6,6,1
2025-06-23,A-,4,0,6,0
2024-01-01,B+,22,0,1,0
2024-01-02,B+,30,1,1,0
2024-01-03,B+,23,2,1,0
2024-01-04,B+,23,3,1,0
2024-01-05,B+,26,4,1,0
2024-01-06,B+,23,5,1,1
2024-01-07,B+,14,6,1,1
2024-01-08,B+,22,0,1,0
2024-01-09,B+,17,1,1,0
2024-01-10,B+,23,2,1,0
2024-01-11,B+,26,3,1,0
2024-01-12,B+,22,4,1,0
2024-01-13,B+,25,5,1,1
2024-01-14,B+,18,6,1,1
2024-01-15,B+,23,0,1,0
2024-01-16,B+,22,1,1,0
2024-01-17,B+,18,2,1,0
2024-01-18,B+,23,3,1,0
2024-01-19,B+,25,4,1,0
2024-01-20,B+,17,5,1,1
2024-01-21,B+,19,6,1,1
2024-01-22,B+,21,0,1,0
2024-01-23,B+,19,1,1,0
2024-01-24,B+,23,2,1,0
2024-01-25,B+,25,3,1,0
2024-01-26,B+,23,4,1,0
2024-01-27,B+,18,5,1,1
2024-01-28,B+,21,6,1,1
2024-01-29,B+,27,0,1,0
2024-01-30,B+,27,1,1,0
2024-01-31,B+,28,2,1,0
2024-02-01,B+,23,3,2,0
2024-02-02,B+,23,4,2,0
2024-02-03,B+,24,5,2,1
2024-02-04,B+,19,6,2,1
2024-02-05,B+,18,0,2,0
2024-02-06,B+,14,1,2,0
2024-02-07,B+,21,2,2,0
2024-02-08,B+,24,3,2,0
2024-02-09,B+,25,4,2,0
2024-02-10,B+,11,5,2,1
2024-02-11,B+,19,6,2,1
2024-02-12,B+,26,0,2,0
2024-02-13,B+,24,1,2,0
2024-02-14,B+,23,2,2,0
2024-02-15,B+,21,3,2,0
2024-02-16,B+,20,4,2,0
2024-02-17,B+,19,5,2,1
2024-02-18,B+,18,6,2,1
2024-02-19,B+,20,0,2,0
2024-02-20,B+,32,1,2,0
2024-02-21,B+,16,2,2,0
2024-02-22,B+,21,3,2,0
2024-02-23,B+,18,4,2,0
2024-02-24,B+,18,5,2,1
2024-02-25,B+,8,6,2,1
2024-02-26,B+,27,0,2,0
2024-02-27,B+,25,1,2,0
2024-02-28,B+,23,2,2,0
2024-02-29,B+,20,3,2,0
2024-03-01,B+,29,4,3,0
2024-03-02,B+,21,5,3,1
2024-03-03,B+,23,6,3,1
2024-03-04,B+,25,0,3,0
2024-03-05,B+,25,1,3,0
2024-03-06,B+,30,2,3,0
2024-03-07,B+,28,3,3,0
2024-03-08,B+,25,4,3,0
2024-03-09,B+,21,5,3,1
2024-03-10,B+,20,6,3,1
2024-03-11,B+,28,0,3,0
2024-03-12,B+,31,1,3,0
2024-03-13,B+,25,2,3,0
2024-03-14,B+,23,3,3,0
2024-03-15,B+,27,4,3,0
2024-03-16,B+,17,5,3,1
2024-03-17,B+,16,6,3,1
2024-03-18,B+,30,0,3,0
2024-03-19,B+,25,1,3,0
2024-03-20,B+,19,2,3,0
2024-03-21,B+,29,3,3,0
2024-03-22,B+,24,4,3,0
2024-03-23,B+,22,5,3,1
2024-03-24,B+,24,6,3,1
2024-03-25,B+,27,0,3,0
2024-03-26,B+,18,1,3,0
2024-03-27,B+,18,2,3,0
2024-03-28,B+,23,3,3,0
2024-03-29,B+,26,4,3,0
2024-03-30,B+,24,5,3,1
2024-03-31,B+,20,6,3,1
2024-04-01,B+,36,0,4,0
2024-04-02,B+,20,1,4,0
2024-04-03,B+,26,2,4,0
2024-04-04,B+,24,3,4,0
2024-04-05,B+,27,4,4,0
2024-04-06,B+,26,5,4,1
2024-04-07,B+,26,6,4,1
2024-04-08,B+,26,0,4,0
2024-04-09,B+,29,1,4,0
2024-04-10,B+,27,2,4,0
2024-04-11,B+,22,3,4,0
2024-04-12,B+,26,4,4,0
2024-04-13,B+,17,5,4,1
2024-04-14,B+,19,6,4,1
2024-04-15,B+,23,0,4,0
2024-04-16,B+,27,1,4,0
2024-04-17,B+,27,2,4,0
2024-04-18,B+,29,3,4,0
2024-04-19,B+,27,4,4,0
2024-04-20,B+,26,5,4,1
2024-04-21,B+,28,6,4,1
2024-04-22,B+,24,0,4,0
2024-04-23,B+,30,1,4,0
2024-04-24,B+,34,2,4,0
2024-04-25,B+,30,3,4,0
2024-04-26,B+,29,4,4,0
2024-04-27,B+,12,5,4,1
2024-04-28,B+,17,6,4,1
2024-04-29,B+,24,0,4,0
2024-04-30,B+,31,1,4,0
2024-05-01,B+,19,2,5,0
2024-05-02,B+,21,3,5,0
2024-05-03,B+,25,4,5,0
2024-05-04,B+,13,5,5,1
2024-05-05,B+,17,6,5,1
2024-05-06,B+,22,0,5,0
2024-05-07,B+,25,1,5,0
2024-05-08,B+,24,2,5,0
2024-05-09,B+,24,3,5,0
2024-05-10,B+,22,4,5,0
2024-05-11,B+,9,5,5,1
2024-05-12,B+,17,6,5,1
2024-05-13,B+,22,0,5,0
2024-05-14,B+,25,1,5,0
2024-05-15,B+,20,2,5,0
2024-05-16,B+,22,3,5,0
2024-05-17,B+,22,4,5,0
2024-05-18,B+,13,5,5,1
2024-05-19,B+,11,6,5,1
2024-05-20,B+,23,0,5,0
2024-05-21,B+,25,1,5,0
2024-05-22,B+,19,2,5,0
2024-05-23,B+,21,3,5,0
2024-05-24,B+,25,4,5,0
2024-05-25,B+,20,5,5,1
2024-05-26,B+,17,6,5,1
2024-05-27,B+,23,0,5,0
2024-05-28,B+,24,1,5,0
2024-05-29,B+,24,2,5,0
2024-05-30,B+,17,3,5,0
2024-05-31,B+,29,4,5,0
2024-06-01,B+,17,5,6,1
2024-06-02,B+,19,6,6,1
2024-06-03,B+,18,0,6,0
2024-06-04,B+,21,1,6,0
2024-06-05,B+,23,2,6,0
2024-06-06,B+,14,3,6,0
2024-06-07,B+,18,4,6,0
2024-06-08,B+,13,5,6,1
2024-06-09,B+,11,6,6,1
2024-06-10,B+,22,0,6,0
2024-06-11,B+,21,1,6,0
2024-06-12,B+,27,2,6,0
2024-06-13,B+,17,3,6,0
2024-06-14,B+,22,4,6,0
2024-06-15,B+,13,5,6,1
2024-06-16,B+,9,6,6,1
2024-06-17,B+,24,0,6,0
2024-06-18,B+,24,1,6,0
2024-06-19,B+,24,2,6,0
2024-06-20,B+,16,3,6,0
2024-06-21,B+,22,4,6,0
2024-06-22,B+,18,5,6,1
2024-06-23,B+,20,6,6,1
2024-06-24,B+,24,0,6,0
2024-06-25,B+,25,1,6,0
2024-06-26,B+,26,2,6,0
2024-06-27,B+,22,3,6,0
2024-06-28,B+,23,4,6,0
2024-06-29,B+,20,5,6,1
2024-06-30,B+,18,6,6,1
2024-07-01,B+,26,0,7,0
2024-07-02,B+,25,1,7,0
2024-07-03,B+,19,2,7,0
2024-07-04,B+,16,3,7,0
2024-07-05,B+,22,4,7,0
2024-07-06,B+,11,5,7,1
2024-07-07,B+,16,6,7,1
2024-07-08,B+,21,0,7,0
2024-07-09,B+,27,1,7,0
2024-07-10,B+,24,2,7,0
2024-07-11,B+,25,3,7,0
2024-07-12,B+,20,4,7,0
2024-07-13,B+,22,5,7,1
2024-07-14,B+,20,6,7,1
2024-07-15,B+,23,0,7,0
2024-07-16,B+,14,1,7,0
2024-07-17,B+,26,2,7,0
2024-07-18,B+,29,3,7,0
2024-07-19,B+,22,4,7,0
2024-07-20,B+,16,5,7,1
2024-07-21,B+,14,6,7,1
2024-07-22,B+,15,0,7,0
2024-07-23,B+,19,1,7,0
2024-07-24,B+,28,2,7,0
2024-07-25,B+,26,3,7,0
2024-07-26,B+,18,4,7,0
2024-07-27,B+,14,5,7,1
2024-07-28,B+,24,6,7,1
2024-07-29,B+,17,0,7,0
2024-07-30,B+,19,1,7,0
2024-07-31,B+,20,2,7,0
2024-08-01,B+,16,3,8,0
2024-08-02,B+,19,4,8,0
2024-08-03,B+,14,5,8,1
2024-08-04,B+,12,6,8,1
2024-08-05,B+,27,0,8,0
2024-08-06,B+,17,1,8,0
2024-08-07,B+,21,2,8,0
2024-08-08,B+,18,3,8,0
2024-08-09,B+,21,4,8,0
2024-08-10,B+,12,5,8,1
2024-08-11,B+,16,6,8,1
2024-08-12,B+,23,0,8,0
2024-08-13,B+,27,1,8,0
2024-08-14,B+,19,2,8,0
2024-08-15,B+,28,3,8,0
2024-08-16,B+,18,4,8,0
2024-08-17,B+,15,5,8,1
2024-08-18,B+,23,6,8,1
2024-08-19,B+,33,0,8,0
2024-08-20,B+,28,1,8,0
2024-08-21,B+,21,2,8,0
2024-08-22,B+,24,3,8,0
2024-08-23,B+,24,4,8,0
2024-08-24,B+,17,5,8,1
2024-08-25,B+,12,6,8,1
2024-08-26,B+,22,0,8,0
2024-08-27,B+,19,1,8,0
2024-08-28,B+,18,2,8,0
2024-08-29,B+,20,3,8,0
2024-08-30,B+,23,4,8,0
2024-08-31,B+,20,5,8,1
2024-09-01,B+,15,6,9,1
2024-09-02,B+,21,0,9,0
2024-09-03,B+,25,1,9,0
2024-09-04,B+,22,2,9,0
2024-09-05,B+,23,3,9,0
2024-09-06,B+,22,4,9,0
2024-09-07,B+,17,5,9,1
2024-09-08,B+,12,6,9,1
2024-09-09,B+,22,0,9,0
2024-09-10,B+,27,1,9,0
2024-09-11,B+,22,2,9,0
2024-09-12,B+,18,3,9,0
2024-09-13,B+,27,4,9,0
2024-09-14,B+,19,5,9,1
2024-09-15,B+,19,6,9,1
2024-09-16,B+,24,0,9,0
2024-09-17,B+,17,1,9,0
2024-09-18,B+,24,2,9,0
2024-09-19,B+,27,3,9,0
2024-09-20,B+,20,4,9,0
2024-09-21,B+,8,5,9,1
2024-09-22,B+,17,6,9,1
2024-09-23,B+,22,0,9,0
2024-09-24,B+,15,1,9,0
2024-09-25,B+,24,2,9,0
2024-09-26,B+,24,3,9,0
2024-09-27,B+,16,4,9,0
2024-09-28,B+,23,5,9,1
2024-09-29,B+,19,6,9,1
2024-09-30,B+,14,0,9,0
2024-10-01,B+,25,1,10,0
2024-10-02,B+,25,2,10,0
2024-10-03,B+,27,3,10,0
2024-10-04,B+,19,4,10,0
2024-10-05,B+,19,5,10,1
2024-10-06,B+,15,6,10,1
2024-10-07,B+,19,0,10,0
2024-10-08,B+,18,1,10,0
2024-10-09,B+,14,2,10,0
2024-10-10,B+,24,3,10,0
2024-10-11,B+,20,4,10,0
2024-10-12,B+,5,5,10,1
2024-10-13,B+,16,6,10,1
2024-10-14,B+,26,0,10,0
2024-10-15,B+,16,1,10,0
2024-10-16,B+,19,2,10,0
2024-10-17,B+,23,3,10,0
2024-10-18,B+,11,4,10,0
2024-10-19,B+,14,5,10,1
2024-10-20,B+,17,6,10,1
2024-10-21,B+,19,0,10,0
2024-10-22,B+,16,1,10,0
2024-10-23,B+,17,2,10,0
2024-10-24,B+,15,3,10,0
2024-10-25,B+,19,4,10,0
2024-10-26,B+,20,5,10,1
2024-10-27,B+,25,6,10,1
2024-10-28,B+,22,0,10,0
2024-10-29,B+,25,1,10,0
2024-10-30,B+,18,2,10,0
2024-10-31,B+,13,3,10,0
2024-11-01,B+,29,4,11,0
2024-11-02,B+,14,5,11,1
2024-11-03,B+,19,6,11,1
2024-11-04,B+,22,0,11,0
2024-11-05,B+,25,1,11,0
2024-11-06,B+,25,2,11,0
2024-11-07,B+,23,3,11,0
2024-11-08,B+,23,4,11,0
2024-11-09,B+,21,5,11,1
2024-11-10,B+,14,6,11,1
2024-11-11,B+,28,0,11,0
2024-11-12,B+,19,1,11,0
2024-11-13,B+,22,2,11,0
2024-11-14,B+,24,3,11,0
2024-11-15,B+,15,4,11,0
2024-11-16,B+,21,5,11,1
2024-11-17,B+,18,6,11,1
2024-11-18,B+,35,0,11,0
2024-11-19,B+,30,1,11,0
2024-11-20,B+,21,2,11,0
2024-11-21,B+,29,3,11,0
2024-11-22,B+,25,4,11,0
2024-11-23,B+,17,5,11,1
2024-11-24,B+,9,6,11,1
2024-11-25,B+,16,0,11,0
2024-11-26,B+,22,1,11,0
2024-11-27,B+,20,2,11,0
2024-11-28,B+,22,3,11,0
2024-11-29,B+,27,4,11,0
2024-11-30,B+,19,5,11,1
2024-12-01,B+,15,6,12,1
2024-12-02,B+,27,0,12,0
2024-12-03,B+,20,1,12,0
2024-12-04,B+,19,2,12,0
2024-12-05,B+,25,3,12,0
2024-12-06,B+,20,4,12,0
2024-12-07,B+,15,5,12,1
2024-12-08,B+,22,6,12,1
2024-12-09,B+,26,0,12,0
2024-12-10,B+,22,1,12,0
2024-12-11,B+,17,2,12,0
2024-12-12,B+,21,3,12,0
2024-12-13,B+,31,4,12,0
2024-12-14,B+,21,5,12,1
2024-12-15,B+,23,6,12,1
2024-12-16,B+,25,0,12,0
2024-12-17,B+,22,1,12,0
2024-12-18,B+,27,2,12,0
2024-12-19,B+,29,3,12,0
2024-12-20,B+,22,4,12,0
2024-12-21,B+,15,5,12,1
2024-12-22,B+,12,6,12,1
2024-12-23,B+,21,0,12,0
2024-12-24,B+,26,1,12,0
2024-12-25,B+,21,2,12,0
2024-12-26,B+,27,3,12,0
2024-12-27,B+,31,4,12,0
2024-12-28,B+,18,5,12,1
2024-12-29,B+,18,6,12,1
2024-12-30,B+,26,0,12,0
2024-12-31,B+,21,1,12,0
2025-01-01,B+,21,2,1,0
2025-01-02,B+,21,3,1,0
2025-01-03,B+,19,4,1,0
2025-01-04,B+,21,5,1,1
2025-01-05,B+,16,6,1,1
2025-01-06,B+,28,0,1,0
2025-01-07,B+,26,1,1,0
2025-01-08,B+,24,2,1,0
2025-01-09,B+,27,3,1,0
2025-01-10,B+,20,4,1,0
2025-01-11,B+,15,5,1,1
2025-01-12,B+,20,6,1,1
2025-01-13,B+,15,0,1,0
2025-01-14,B+,24,1,1,0
2025-01-15,B+,26,2,1,0
2025-01-16,B+,29,3,1,0
2025-01-17,B+,30,4,1,0
2025-01-18,B+,17,5,1,1
2025-01-19,B+,21,6,1,1
2025-01-20,B+,21,0,1,0
2025-01-21,B+,22,1,1,0
2025-01-22,B+,29,2,1,0
2025-01-23,B+,24,3,1,0
2025-01-24,B+,24,4,1,0
2025-01-25,B+,14,5,1,1
2025-01-26,B+,19,6,1,1
2025-01-27,B+,27,0,1,0
2025-01-28,B+,27,1,1,0
2025-01-29,B+,19,2,1,0
2025-01-30,B+,28,3,1,0
2025-01-31,B+,20,4,1,0
2025-02-01,B+,16,5,2,1
2025-02-02,B+,10,6,2,1
2025-02-03,B+,21,0,2,0
2025-02-04,B+,18,1,2,0
2025-02-05,B+,20,2,2,0
2025-02-06,B+,22,3,2,0
2025-02-07,B+,25,4,2,0
2025-02-08,B+,19,5,2,1
2025-02-09,B+,7,6,2,1
2025-02-10,B+,24,0,2,0
2025-02-11,B+,22,1,2,0
2025-02-12,B+,19,2,2,0
2025-02-13,B+,18,3,2,0
2025-02-14,B+,21,4,2,0
2025-02-15,B+,17,5,2,1
2025-02-16,B+,17,6,2,1
2025-02-17,B+,21,0,2,0
2025-02-18,B+,12,1,2,0
2025-02-19,B+,20,2,2,0
2025-02-20,B+,17,3,2,0
2025-02-21,B+,30,4,2,0
2025-02-22,B+,16,5,2,1
2025-02-23,B+,19,6,2,1
2025-02-24,B+,24,0,2,0
2025-02-25,B+,23,1,2,0
2025-02-26,B+,20,2,2,0
2025-02-27,B+,19,3,2,0
2025-02-28,B+,13,4,2,0
2025-03-01,B+,20,5,3,1
2025-03-02,B+,20,6,3,1
2025-03-03,B+,26,0,3,0
2025-03-04,B+,26,1,3,0
2025-03-05,B+,21,2,3,0
2025-03-06,B+,25,3,3,0
2025-03-07,B+,23,4,3,0
2025-03-08,B+,22,5,3,1
2025-03-09,B+,19,6,3,1
2025-03-10,B+,23,0,3,0
2025-03-11,B+,25,1,3,0
2025-03-12,B+,22,2,3,0
2025-03-13,B+,25,3,3,0
2025-03-14,B+,28,4,3,0
2025-03-15,B+,14,5,3,1
2025-03-16,B+,19,6,3,1
2025-03-17,B+,23,0,3,0
2025-03-18,B+,21,1,3,0
2025-03-19,B+,33,2,3,0
2025-03-20,B+,31,3,3,0
2025-03-21,B+,24,4,3,0
2025-03-22,B+,18,5,3,1
2025-03-23,B+,11,6,3,1
2025-03-24,B+,20,0,3,0
2025-03-25,B+,21,1,3,0
2025-03-26,B+,26,2,3,0
2025-03-27,B+,25,3,3,0
2025-03-28,B+,27,4,3,0
2025-03-29,B+,22,5,3,1
2025-03-30,B+,20,6,3,1
2025-03-31,B+,22,0,3,0
2025-04-01,B+,27,1,4,0
2025-04-02,B+,28,2,4,0
2025-04-03,B+,24,3,4,0
2025-04-04,B+,19,4,4,0
2025-04-05,B+,24,5,4,1
2025-04-06,B+,20,6,4,1
2025-04-07,B+,15,0,4,0
2025-04-08,B+,34,1,4,0
2025-04-09,B+,24,2,4,0
2025-04-10,B+,36,3,4,0
2025-04-11,B+,27,4,4,0
2025-04-12,B+,18,5,4,1
2025-04-13,B+,20,6,4,1
2025-04-14,B+,23,0,4,0
